Dataset,Filename,DateTime,Longitude,Latitude,LAIm,LAIe,Canopy cover (ff),Ground Cover (fc),Canopy Porosity,clumping index,k,Big gaps ,Total Gaps,Total pixels
LRC_47_SHZ_PAI_2020_09_21,IMG_3540.JPG,2020:09:21 10:14:47,140.5989694,-34.43776389,0.270712047,0.220057337,0.149786175,0.386463277,0.612418089,0.856299443,0.7,4395475.25,6091067.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3541.JPG,2020:09:21 10:14:54,140.5989222,-34.43777222,0.300420023,0.244206459,0.145877116,0.268844289,0.457391798,0.749808322,0.7,5238116.5,6119073,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3542.JPG,2020:09:21 10:15:02,140.5988611,-34.43776389,0.275612199,0.22404059,0.143900768,0.312115639,0.538950472,0.805318823,0.7,4928113.625,6133231.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3543.JPG,2020:09:21 10:15:10,140.5988,-34.43776667,0.261648851,0.212690016,0.137099238,0.300165476,0.543254476,0.80508986,0.7,5013726.5,6181959.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3544.JPG,2020:09:21 10:15:18,140.5987083,-34.43778611,0.270589003,0.219957317,0.143215272,0.322200247,0.555508497,0.816043008,0.7,4855865.875,6138142.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3545.JPG,2020:09:21 10:15:26,140.5986944,-34.43778611,0.262682538,0.213530283,0.139533229,0.317095863,0.559965156,0.817283535,0.7,4892434.5,6164521.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3546.JPG,2020:09:21 10:15:33,140.5986472,-34.437775,0.237407368,0.192984515,0.129111996,0.314729605,0.589768506,0.831854639,0.7,4909386.75,6239181,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3547.JPG,2020:09:21 10:15:40,140.5986028,-34.43777778,0.280243044,0.227804927,0.139006632,0.267420221,0.480194014,0.762952425,0.7,5248318.75,6168294.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3548.JPG,2020:09:21 10:15:48,140.5985417,-34.43778333,0.342523817,0.278431936,0.171818172,0.338622166,0.492596205,0.786275039,0.7,4738216.625,5933227.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3549.JPG,2020:09:21 10:15:55,140.5984944,-34.43779444,0.340341044,0.276657596,0.152819748,0.2468683,0.3809665,0.696116009,0.7,5395556,6069334.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3550.JPG,2020:09:21 10:16:03,140.5984028,-34.43780556,0.256138152,0.20821046,0.140591482,0.35307796,0.601811786,0.845028889,0.7,4634653,6156940.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3551.JPG,2020:09:21 10:16:10,140.5983722,-34.43779444,0.386806033,0.314428215,0.198561206,0.412725183,0.518902131,0.817488631,0.7,4207330.75,5741635.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3554.JPG,2020:09:21 10:16:28,140.5983417,-34.43775556,0.318941994,0.259262662,0.151353107,0.267300179,0.433771023,0.735073603,0.7,5249178.75,6079842.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3555.JPG,2020:09:21 10:16:36,140.5983889,-34.43775278,0.347187268,0.282222777,0.186379248,0.436667715,0.57317832,0.848701826,0.7,4035802.625,5828909.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3556.JPG,2020:09:21 10:16:42,140.59845,-34.43775556,0.293027361,0.238197087,0.156750809,0.363469252,0.568737085,0.831188906,0.7,4560208.125,6041172.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3557.JPG,2020:09:21 10:16:49,140.598525,-34.43777778,0.271299817,0.220535126,0.148006169,0.364387486,0.593822031,0.843431628,0.7,4553629.75,6103820.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3558.JPG,2020:09:21 10:16:56,140.5986028,-34.43776389,0.264585334,0.215077034,0.138226376,0.300277423,0.539671098,0.80321189,0.7,5012924.5,6173884.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3559.JPG,2020:09:21 10:17:07,140.5986333,-34.43776389,0.242284523,0.196949074,0.118927498,0.223914196,0.468870217,0.74655651,0.7,5560002.875,6312144.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3560.JPG,2020:09:21 10:17:14,140.5986944,-34.43775556,0.259751053,0.211147327,0.139257411,0.324999302,0.571514738,0.824744556,0.7,4835813,6166497.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3561.JPG,2020:09:21 10:17:20,140.5987556,-34.43775278,0.311954454,0.253582606,0.167544922,0.393093573,0.573778527,0.839756373,0.7,4347974.75,5963841.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3562.JPG,2020:09:21 10:17:28,140.5988,-34.43775278,0.350282998,0.284739245,0.1792978,0.370123294,0.515572777,0.805858464,0.7,4512537.5,5879641.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3563.JPG,2020:09:21 10:17:35,140.5988472,-34.43775278,0.264895604,0.215329247,0.144540567,0.356077544,0.59407559,0.841930631,0.7,4613163.5,6128648.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3564.JPG,2020:09:21 10:17:42,140.5988917,-34.43775278,0.255352129,0.207571514,0.140269585,0.353180991,0.602839369,0.84553498,0.7,4633914.875,6159246.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3565.JPG,2020:09:21 10:17:48,140.5989694,-34.43774722,0.28538381,0.231983771,0.150323311,0.333779204,0.549632485,0.815440028,0.7,4772912.375,6087219.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3566.JPG,2020:09:21 10:17:55,140.5990139,-34.43774722,0.310088201,0.252065561,0.173367324,0.464068118,0.626418369,0.877146044,0.7,3839501.75,5922128.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3567.JPG,2020:09:21 10:18:02,140.5990611,-34.43774167,0.276764264,0.224977084,0.149259788,0.354549469,0.579015622,0.83437935,0.7,4624110.875,6094839,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3568.JPG,2020:09:21 10:18:09,140.5991361,-34.43773611,0.253193274,0.205816617,0.123194188,0.227936265,0.45952353,0.741780786,0.7,5531188.125,6281577.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3569.JPG,2020:09:21 10:18:16,140.5991833,-34.43774444,0.30749869,0.24996059,0.159466235,0.339921585,0.530873465,0.807056423,0.7,4728907.375,6021718.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3570.JPG,2020:09:21 10:18:25,140.5992278,-34.43774444,0.26865551,0.218385612,0.137357555,0.282770258,0.514243275,0.785684824,0.7,5138348.625,6180108.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3571.JPG,2020:09:21 10:18:32,140.599275,-34.43774722,0.294391095,0.239305643,0.138563924,0.241233166,0.425601684,0.723791436,0.7,5435927,6171465.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3572.JPG,2020:09:21 10:18:39,140.5993333,-34.43774444,0.430028647,0.349563162,0.219457288,0.449806188,0.512107005,0.823087412,0.7,3941676.5,5591932.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3575.JPG,2020:09:21 10:18:58,140.5993333,-34.43770556,0.249385347,0.202721217,0.13291984,0.304987116,0.564178837,0.817002117,0.7,4979183.5,6211901,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3576.JPG,2020:09:21 10:19:06,140.5993333,-34.43769722,0.273541931,0.222357703,0.124856682,0.206733902,0.396051246,0.696511729,0.7,5683085.25,6269666.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3577.JPG,2020:09:21 10:19:13,140.5992444,-34.43771111,0.232860501,0.189288443,0.109218038,0.189001223,0.422130521,0.709533283,0.7,5810125,6381704.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3578.JPG,2020:09:21 10:19:20,140.5991667,-34.43771389,0.227656952,0.185058564,0.083728658,0.108979978,0.231706052,0.548712387,0.7,6383410,6564314.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3579.JPG,2020:09:21 10:19:27,140.5991361,-34.43771111,0.225505904,0.183310013,0.112221984,0.217390245,0.483776358,0.754073062,0.7,5606741.5,6360183.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3580.JPG,2020:09:21 10:19:34,140.5990917,-34.43772222,0.254741367,0.207075036,0.133474109,0.292195404,0.543202571,0.803410322,0.7,5070825.375,6207930.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3581.JPG,2020:09:21 10:19:40,140.5990444,-34.43773333,0.2583749,0.210028675,0.135073808,0.293951855,0.54049003,0.802328618,0.7,5058241.875,6196469.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3582.JPG,2020:09:21 10:19:47,140.5989833,-34.43771389,0.205351507,0.166926838,0.11226604,0.278287057,0.596581883,0.828427436,0.7,5170467,6359868.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3583.JPG,2020:09:21 10:19:54,140.5989083,-34.43771111,0.263162909,0.213920768,0.137067482,0.295429558,0.536040052,0.800258162,0.7,5047655.375,6182186.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3584.JPG,2020:09:21 10:20:01,140.5988778,-34.43770278,0.240283949,0.195322841,0.110259664,0.184083096,0.401033192,0.694568814,0.7,5845359.25,6374242.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3585.JPG,2020:09:21 10:20:08,140.5987861,-34.43771111,0.202305658,0.164450918,0.090961658,0.147231933,0.382187976,0.673436469,0.7,6109366.875,6512496.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3586.JPG,2020:09:21 10:20:15,140.5987389,-34.437725,0.229857752,0.186847558,0.11494111,0.224980737,0.489106886,0.758861217,0.7,5552362,6340703.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3587.JPG,2020:09:21 10:20:22,140.5986944,-34.43772222,0.217944039,0.177163098,0.117628218,0.28006373,0.579994818,0.820274724,0.7,5157738.625,6321452.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3588.JPG,2020:09:21 10:20:29,140.5986472,-34.43772778,0.226365843,0.184009043,0.096871458,0.146643151,0.339406872,0.64301969,0.7,6113585,6470157.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3589.JPG,2020:09:21 10:20:36,140.5985722,-34.43772778,0.2408281,0.195765172,0.112155455,0.191780055,0.415187075,0.705652191,0.7,5790217,6360660.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3590.JPG,2020:09:21 10:20:43,140.598525,-34.43774444,0.217075519,0.176457092,0.109734376,0.220029267,0.50127373,0.764943839,0.7,5587835.125,6378005.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3591.JPG,2020:09:21 10:20:49,140.5984806,-34.43775556,0.298602665,0.242729159,0.152360587,0.312157828,0.511911688,0.790826136,0.7,4927811.375,6072624.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3592.JPG,2020:09:21 10:20:56,140.5984333,-34.43774722,0.257296878,0.209152369,0.130247772,0.261988687,0.502849635,0.774796492,0.7,5287231.125,6231044.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3593.JPG,2020:09:21 10:21:03,140.5983722,-34.43774444,0.371283511,0.301810214,0.192215242,0.40796742,0.528846588,0.821319399,0.7,4241416.125,5787099.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3596.JPG,2020:09:21 10:21:22,140.5983583,-34.43769722,0.355544889,0.289016549,0.19001296,0.439382286,0.567545242,0.84673669,0.7,4016355,5802876.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3597.JPG,2020:09:21 10:21:30,140.5984028,-34.43771389,0.354787082,0.28840054,0.186242892,0.40975069,0.545472658,0.829847215,0.7,4228640.5,5829886.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3598.JPG,2020:09:21 10:21:37,140.59845,-34.437725,0.318446062,0.258859527,0.17395136,0.430046003,0.595505228,0.857295311,0.7,4083241.625,5917944.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3599.JPG,2020:09:21 10:21:43,140.598525,-34.43771389,0.280357484,0.227897953,0.153894665,0.386565609,0.60189251,0.851522108,0.7,4394742.125,6061634,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3600.JPG,2020:09:21 10:21:50,140.5985722,-34.43769167,0.308437875,0.250724038,0.169728639,0.429863253,0.605156669,0.861496434,0.7,4084550.875,5948196.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3601.JPG,2020:09:21 10:21:57,140.5986167,-34.43769167,0.298127774,0.242343127,0.15801952,0.356940049,0.557293948,0.824183757,0.7,4606984.375,6032082.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3602.JPG,2020:09:21 10:22:05,140.5986944,-34.43769444,0.344174141,0.279773456,0.180714557,0.397839646,0.545760311,0.827333383,0.7,4313973.125,5869492,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3603.JPG,2020:09:21 10:22:11,140.5987389,-34.43769444,0.331645701,0.269589295,0.183458668,0.472966021,0.612110258,0.87303902,0.7,3775755.75,5849832.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3604.JPG,2020:09:21 10:22:18,140.5987861,-34.43769722,0.330260882,0.268463599,0.166999899,0.33507564,0.501605371,0.7903774,0.7,4763624.5,5967746,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3605.JPG,2020:09:21 10:22:29,140.5988306,-34.43769167,0.273803181,0.222570069,0.141620703,0.29990093,0.527775047,0.796762142,0.7,5015621.75,6149566.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3606.JPG,2020:09:21 10:22:36,140.5988778,-34.43769444,0.336651957,0.273658797,0.158633113,0.276708539,0.426714069,0.732963268,0.7,5181775.75,6027687,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3607.JPG,2020:09:21 10:22:43,140.5989528,-34.43771111,0.277934326,0.225928209,0.14734948,0.333047995,0.557572836,0.819338071,0.7,4778150.875,6108524.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3608.JPG,2020:09:21 10:22:50,140.5990139,-34.43770278,0.285192171,0.23182799,0.154282149,0.369955654,0.582971237,0.839381309,0.7,4513738.5,6058858,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3609.JPG,2020:09:21 10:22:57,140.599075,-34.43769167,0.259224903,0.210719628,0.136713516,0.304582865,0.551145086,0.810155187,0.7,4982079.625,6184722.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3610.JPG,2020:09:21 10:23:03,140.5991222,-34.43769444,0.226102975,0.183795362,0.118022019,0.25582003,0.538652158,0.793495516,0.7,5331424.375,6318631.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3611.JPG,2020:09:21 10:23:10,140.5991833,-34.43768333,0.320711504,0.260701068,0.135004174,0.200316733,0.326046448,0.646021625,0.7,5729058.875,6196968.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3612.JPG,2020:09:21 10:23:17,140.5992444,-34.43768333,0.278127404,0.226085158,0.149600477,0.352557156,0.575670288,0.832347283,0.7,4638384.125,6092398.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3613.JPG,2020:09:21 10:23:25,140.5992889,-34.43768056,0.337215919,0.274117233,0.188481884,0.504018458,0.626041703,0.884759824,0.7,3553291.125,5813845.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3614.JPG,2020:09:21 10:23:32,140.5993194,-34.43767222,0.436233208,0.354606747,0.22737212,0.490968358,0.536890481,0.844757015,0.7,3646784.125,5535229.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3617.JPG,2020:09:21 10:23:49,140.5993194,-34.43765278,0.463983025,0.377164113,0.213334362,0.357296476,0.402920612,0.73879543,0.7,4604430.875,5635798.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3618.JPG,2020:09:21 10:23:56,140.5992583,-34.43764167,0.314270599,0.255465362,0.169629499,0.403962624,0.580086153,0.844964692,0.7,4270107.125,5948907.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3619.JPG,2020:09:21 10:24:03,140.5992278,-34.43764444,0.272988156,0.221907549,0.130432511,0.233197245,0.440677309,0.731373067,0.7,5493497.625,6229720.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3620.JPG,2020:09:21 10:24:11,140.5991833,-34.43764444,0.246946687,0.20073887,0.125944319,0.257751031,0.511372202,0.77871751,0.7,5317590.375,6261874.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3621.JPG,2020:09:21 10:24:18,140.5991361,-34.43765,0.246538668,0.200407199,0.133276232,0.31888578,0.582056522,0.82881788,0.7,4879611.25,6209347.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3622.JPG,2020:09:21 10:24:25,140.5990611,-34.43766389,0.272563976,0.22156274,0.147490145,0.353960548,0.583314733,0.836346295,0.7,4628330,6107517,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3623.JPG,2020:09:21 10:24:31,140.5990306,-34.43766667,0.249255565,0.202615719,0.127102218,0.260026141,0.511194461,0.77910178,0.7,5301291.125,6253579.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3624.JPG,2020:09:21 10:24:38,140.5989528,-34.43766111,0.195684177,0.159068425,0.100065604,0.206081069,0.514435727,0.76970536,0.7,5687762.25,6447274,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3625.JPG,2020:09:21 10:24:45,140.5989083,-34.43766667,0.258469874,0.210105878,0.126308929,0.235704151,0.464120898,0.746306547,0.7,5475537.75,6259262.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3626.JPG,2020:09:21 10:24:52,140.5988472,-34.43766111,0.215344166,0.175049704,0.120060115,0.318144067,0.622623435,0.84848686,0.7,4884925,6304030.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3627.JPG,2020:09:21 10:25:00,140.5987861,-34.43766667,0.266780455,0.216861412,0.134584114,0.268605967,0.498953373,0.774018441,0.7,5239823.875,6199977.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3628.JPG,2020:09:21 10:25:07,140.5987389,-34.43768056,0.23300338,0.189404587,0.121815433,0.265129373,0.540543429,0.796423112,0.7,5264730.75,6291454.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3629.JPG,2020:09:21 10:25:14,140.5986944,-34.43768056,0.258393958,0.210044167,0.138850228,0.326269793,0.57443125,0.826461379,0.7,4826711,6169414.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3630.JPG,2020:09:21 10:25:20,140.5986472,-34.43768611,0.247804624,0.201436273,0.122196008,0.232225568,0.473804678,0.751352021,0.7,5500458.875,6288728.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3631.JPG,2020:09:21 10:25:27,140.5985861,-34.43769444,0.211686155,0.172076168,0.112250808,0.253863729,0.557830461,0.803521187,0.7,5345439.625,6359977.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3632.JPG,2020:09:21 10:25:33,140.598525,-34.43768333,0.232854765,0.18928378,0.12794888,0.322472436,0.603225373,0.839930252,0.7,4853915.875,6247513.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3633.JPG,2020:09:21 10:25:41,140.5984639,-34.43768056,0.291367486,0.236847802,0.152433607,0.332370334,0.54137421,0.810886158,0.7,4783005.75,6072101.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3634.JPG,2020:09:21 10:25:48,140.5984194,-34.43768056,0.34669395,0.281821767,0.192181672,0.49902164,0.61488309,0.879400932,0.7,3589089.125,5787339.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3635.JPG,2020:09:21 10:25:55,140.5983722,-34.437675,0.275978671,0.224338488,0.149842427,0.363385502,0.587648856,0.840300794,0.7,4560808.125,6090664.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3638.JPG,2020:09:21 10:26:15,140.5983417,-34.43767222,0.331630845,0.269577219,0.179924094,0.435319842,0.58668529,0.854471506,0.7,4045459,5875155,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3639.JPG,2020:09:21 10:26:22,140.5984028,-34.43765556,0.335487879,0.272712538,0.166540652,0.320922882,0.481057098,0.775716124,0.7,4865017.125,5971036.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3640.JPG,2020:09:21 10:26:29,140.5984639,-34.43765556,0.254039102,0.206504177,0.142178532,0.382027499,0.627831682,0.862405369,0.7,4427253.875,6145570.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3641.JPG,2020:09:21 10:26:35,140.5984944,-34.43765278,0.305474821,0.248315421,0.148151109,0.27239385,0.456114339,0.749868331,0.7,5212686.875,6102781.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3642.JPG,2020:09:21 10:26:42,140.598525,-34.43766667,0.277815914,0.225831953,0.153809536,0.397669702,0.613222896,0.858794832,0.7,4315190.625,6062243.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3643.JPG,2020:09:21 10:26:49,140.5985861,-34.43766389,0.24976542,0.203030172,0.132341248,0.298658426,0.556880917,0.811943487,0.7,5024523.25,6216046.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3644.JPG,2020:09:21 10:26:57,140.5986333,-34.43766667,0.29845613,0.242610043,0.149764243,0.295381297,0.49297994,0.776575518,0.7,5048001.125,6091225,7164160
